feature,shap_absmean,lime_absmean,shap_rank,lime_rank
gen_health,0.6495,0.2186,1.0,1.0
income_pir,0.2981,0.0715,2.0,5.0
age,0.2348,0.0609,3.0,7.0
current_smoker,0.2318,0.0946,4.0,2.0
sex_Male,0.2272,0.0892,5.0,3.0
sleep_hours,0.1453,0.0417,6.0,9.0
neutrophil_pct,0.1268,0.0379,7.0,10.0
sedentary_min,0.1231,0.0329,8.0,12.0
sbp,0.1113,0.0329,9.0,13.0
high_bp_hx,0.1102,0.0319,10.0,15.0
race_MexicanAmerican,0.089,0.063,11.0,6.0
waist,0.0831,0.0222,12.0,18.0
lymphocyte_pct,0.0773,0.0231,13.0,17.0
sex_Female,0.0658,0.0256,14.0,16.0
education,0.0601,0.0213,15.0,21.0
dbp,0.0539,0.0166,16.0,23.0
high_chol_hx,0.0526,0.0185,17.0,22.0
race_NH_Black,0.0365,0.0221,18.0,19.0
stroke_hx,0.0351,0.0878,19.0,4.0
total_chol,0.0349,0.0108,20.0,25.0
bmi,0.0334,0.0102,21.0,26.0
race_OtherHispanic,0.0322,0.0424,22.0,8.0
cancer_hx,0.0214,0.032,23.0,14.0
race_Other_Multi,0.0198,0.0218,24.0,20.0
chd_hx,0.0174,0.0335,25.0,11.0
diabetes,0.0141,0.0128,26.0,24.0
hba1c,0.0134,0.006,27.0,27.0
hdl,0.0069,0.0051,28.0,29.0
wbc,0.0063,0.0052,29.0,28.0
nlr,0.0031,0.0045,30.0,30.0
race_NH_White,0.0029,0.0043,31.0,32.0
platelets,0.0028,0.0043,32.0,31.0
haemoglobin,0.0003,0.0042,33.0,33.0
