feature,shap_absmean,lime_absmean,shap_rank,lime_rank
gen_health,0.102,0.0689,1.0,1.0
income_pir,0.0448,0.0266,2.0,3.0
sleep_hours,0.0358,0.0245,3.0,4.0
current_smoker,0.0349,0.0439,4.0,2.0
bmi,0.0179,0.0057,5.0,15.0
waist,0.0174,0.0054,6.0,16.0
age,0.017,0.0124,7.0,8.0
sex_Male,0.0163,0.0194,8.0,7.0
sex_Female,0.0162,0.0194,9.0,6.0
sbp,0.016,0.0078,10.0,11.0
platelets,0.0155,0.0038,11.0,24.0
wbc,0.0153,0.0071,12.0,12.0
neutrophil_pct,0.0142,0.0053,13.0,17.0
total_chol,0.014,0.0028,14.0,29.0
sedentary_min,0.0139,0.0063,15.0,14.0
haemoglobin,0.0137,0.0023,16.0,33.0
hdl,0.0135,0.003,17.0,27.0
nlr,0.0134,0.0037,18.0,25.0
lymphocyte_pct,0.0131,0.0024,19.0,32.0
dbp,0.013,0.004,20.0,23.0
hba1c,0.0121,0.0026,21.0,31.0
high_bp_hx,0.0116,0.0106,22.0,9.0
education,0.0099,0.0084,23.0,10.0
high_chol_hx,0.0043,0.0042,24.0,22.0
race_MexicanAmerican,0.0035,0.0053,25.0,18.0
stroke_hx,0.0033,0.0203,26.0,5.0
race_NH_White,0.003,0.0036,27.0,26.0
race_OtherHispanic,0.0027,0.0066,28.0,13.0
diabetes,0.0024,0.0043,29.0,21.0
race_NH_Black,0.0019,0.0026,30.0,30.0
cancer_hx,0.0014,0.0045,31.0,20.0
race_Other_Multi,0.0014,0.0029,32.0,28.0
chd_hx,0.0009,0.0051,33.0,19.0
