feature,shap_absmean,lime_absmean,shap_rank,lime_rank
gen_health,0.723,0.1669,1.0,1.0
income_pir,0.2989,0.0624,2.0,4.0
sleep_hours,0.2283,0.0617,3.0,5.0
sex_Female,0.2073,0.0779,4.0,2.0
current_smoker,0.194,0.0771,5.0,3.0
age,0.1755,0.0476,6.0,6.0
sedentary_min,0.1144,0.0184,7.0,15.0
sbp,0.0989,0.0242,8.0,11.0
waist,0.0771,0.0153,9.0,19.0
high_bp_hx,0.0767,0.0321,10.0,8.0
bmi,0.0721,0.0137,11.0,20.0
hba1c,0.0669,0.0157,12.0,18.0
total_chol,0.064,0.0095,13.0,25.0
neutrophil_pct,0.059,0.0174,14.0,17.0
wbc,0.0583,0.005,15.0,30.0
education,0.0555,0.019,16.0,13.0
platelets,0.0536,0.0073,17.0,26.0
haemoglobin,0.0508,0.0065,18.0,28.0
high_chol_hx,0.0451,0.0181,19.0,16.0
race_MexicanAmerican,0.0444,0.0232,20.0,12.0
hdl,0.0443,0.0124,21.0,22.0
nlr,0.0422,0.0049,22.0,31.0
dbp,0.0366,0.0184,23.0,14.0
race_OtherHispanic,0.0358,0.032,24.0,9.0
race_NH_White,0.0348,0.0131,25.0,21.0
lymphocyte_pct,0.0317,0.0045,26.0,32.0
sex_Male,0.0274,0.0099,27.0,24.0
stroke_hx,0.0263,0.0325,28.0,7.0
cancer_hx,0.0146,0.0265,29.0,10.0
race_NH_Black,0.0105,0.0045,30.0,33.0
race_Other_Multi,0.0059,0.0071,31.0,27.0
chd_hx,0.0035,0.0107,32.0,23.0
diabetes,0.0005,0.0053,33.0,29.0
