regime,model,calib,acc,roc,pr,ece,mce,brier,nll,mean_conf
id,logreg,raw,0.7133,0.7858,0.3138,0.305,0.5259,0.1861,0.5509,0.7206
id,logreg,temp,0.7133,0.7858,0.3138,0.308,0.5248,0.1861,0.551,0.7137
id,logreg,platt,0.9138,0.7858,0.3138,0.0077,0.0726,0.0697,0.2492,0.9148
id,logreg,isotonic,0.9138,0.7845,0.2973,0.0036,0.1249,0.0695,0.2488,0.9152
id,rf,raw,0.9084,0.7889,0.2817,0.076,0.82,0.0781,0.2791,0.8412
id,rf,temp,0.9084,0.7889,0.2817,0.0222,0.8909,0.0727,0.2557,0.8999
id,rf,platt,0.9123,0.7889,0.2817,0.0093,0.6943,0.0709,0.2509,0.9148
id,rf,isotonic,0.9123,0.7846,0.2554,0.0064,1.0,0.0714,0.2555,0.9161
id,xgb,raw,0.7774,0.7904,0.3061,0.2525,0.5038,0.1544,0.4737,0.7465
id,xgb,temp,0.7774,0.7904,0.3061,0.2373,0.5109,0.1533,0.4694,0.7732
id,xgb,platt,0.913,0.7904,0.3061,0.0062,0.3684,0.0699,0.2485,0.9149
id,xgb,isotonic,0.9135,0.7896,0.2887,0.0054,0.6562,0.07,0.249,0.916
shift_time,logreg,raw,0.7469,0.7653,0.2597,0.2794,0.517,0.1703,0.5126,0.7242
shift_time,logreg,temp,0.7469,0.7653,0.2597,0.2789,0.5179,0.1702,0.5124,0.7251
shift_time,logreg,platt,0.9143,0.7653,0.2597,0.0112,0.744,0.071,0.2551,0.9239
shift_time,logreg,isotonic,0.9143,0.7632,0.2471,0.0121,0.156,0.0712,0.2591,0.925
shift_time,rf,raw,0.9089,0.7575,0.2379,0.0734,0.82,0.0793,0.2837,0.844
shift_time,rf,temp,0.9089,0.7575,0.2379,0.0229,0.9057,0.0742,0.2644,0.9037
shift_time,rf,platt,0.9141,0.7575,0.2379,0.006,0.7412,0.0719,0.2577,0.916
shift_time,rf,isotonic,0.9142,0.7517,0.2162,0.0104,0.7143,0.0722,0.259,0.9169
shift_time,xgb,raw,0.7831,0.7661,0.2611,0.243,0.5033,0.1513,0.466,0.7487
shift_time,xgb,temp,0.7831,0.7661,0.2611,0.2231,0.5452,0.15,0.4607,0.7817
shift_time,xgb,platt,0.9148,0.7661,0.2611,0.0057,0.1862,0.0709,0.2544,0.9165
shift_time,xgb,isotonic,0.9143,0.7634,0.2398,0.0087,0.5069,0.0713,0.2586,0.9176
shift_age,logreg,raw,0.7641,0.7579,0.1939,0.283,0.5907,0.1616,0.4918,0.7251
shift_age,logreg,temp,0.7641,0.7579,0.1939,0.2791,0.6023,0.1611,0.4898,0.7317
shift_age,logreg,platt,0.9326,0.7579,0.1939,0.011,0.8081,0.0586,0.2189,0.9368
shift_age,logreg,isotonic,0.9279,0.7578,0.1779,0.0176,0.2401,0.0592,0.2224,0.9382
shift_age,rf,raw,0.929,0.7676,0.1902,0.1121,0.44,0.0727,0.2754,0.8225
shift_age,rf,temp,0.929,0.7676,0.1902,0.0379,0.4325,0.0616,0.2264,0.8975
shift_age,rf,platt,0.9326,0.7676,0.1902,0.024,0.2745,0.059,0.2204,0.9094
shift_age,rf,isotonic,0.9311,0.7662,0.1776,0.0233,0.1889,0.0593,0.2213,0.9101
shift_age,xgb,raw,0.8043,0.7537,0.1866,0.2409,0.7653,0.1404,0.4392,0.7546
shift_age,xgb,temp,0.8043,0.7537,0.1866,0.2027,0.6412,0.1377,0.4292,0.8122
shift_age,xgb,platt,0.9308,0.7537,0.1866,0.0144,0.5772,0.0597,0.2216,0.9277
shift_age,xgb,isotonic,0.9288,0.75,0.1732,0.0188,0.4294,0.0604,0.2255,0.9273
